Customer_ID,Age,Monthly_Income,Average_Visits,Items_Shopped,Shopping_Amount,Customer_Type
1,56,125186,3,43,13041,Returning
2,69,54674,10,2,4260,Non-Repeating
3,46,55854,3,23,15397,Non-Repeating
4,32,66271,8,19,4174,Non-Repeating
5,60,93688,8,31,14787,Returning
6,25,58518,2,5,8368,Non-Repeating
7,38,131076,8,19,14829,Returning
8,56,30267,11,34,15521,Returning
9,36,110825,13,10,10992,Returning
10,40,21062,13,25,5282,Returning
11,28,136664,1,2,11212,Returning
12,28,70448,6,11,5273,Non-Repeating
13,41,115462,8,31,19581,Non-Repeating
14,53,26229,3,15,6480,Returning
15,57,76793,8,9,9477,Returning
16,41,134813,12,23,21233,Returning
17,20,67915,1,19,8808,Returning
18,39,24632,11,9,6310,Returning
19,19,124592,11,35,15029,Non-Repeating
20,41,23596,9,21,6509,Returning
21,61,129779,13,9,3579,Returning
22,47,26168,11,28,3548,Returning
23,55,128099,13,46,28976,Non-Repeating
24,19,27561,9,7,3968,Non-Repeating
25,38,93794,5,16,6070,Non-Repeating
26,50,102152,10,16,10069,Non-Repeating
27,29,145036,4,33,4507,Returning
28,39,144049,11,4,13989,Returning
29,61,46734,6,4,7053,Non-Repeating
30,42,26371,12,39,18955,Returning
31,66,138894,7,40,15091,Returning
32,44,46069,5,17,5984,Returning
33,59,99905,11,37,5808,Returning
34,45,32910,13,39,3832,Returning
35,33,93479,10,29,19660,Returning
36,32,97735,9,36,13468,Non-Repeating
37,64,101264,3,38,15478,Returning
38,68,43275,7,39,13318,Returning
39,61,92274,10,37,14638,Returning
40,69,101449,10,35,25772,Returning
41,20,120776,11,7,10778,Returning
42,54,80004,5,27,8560,Returning
43,68,82981,14,28,13410,Returning
44,24,104659,7,22,8165,Returning
45,38,74553,2,14,12650,Returning
46,26,68447,4,7,4532,Returning
47,56,54529,2,37,23502,Returning
48,35,146394,14,22,13395,Returning
49,21,95703,13,5,3016,Returning
50,42,96090,13,2,2568,Returning
51,31,37260,12,27,13405,Returning
52,67,132581,7,21,21272,Returning
53,26,23812,2,38,13216,Returning
54,43,48024,13,15,8269,Non-Repeating
55,19,78656,14,21,8347,Non-Repeating
56,37,136148,11,10,7863,Non-Repeating
57,45,47285,1,23,10025,Non-Repeating
58,64,112436,9,39,6125,Returning
59,24,136421,1,5,15026,Non-Repeating
60,61,21605,8,1,1172,Returning
61,25,91158,2,13,8894,Returning
62,64,92303,12,21,9704,Returning
63,52,47139,8,26,11822,Returning
64,31,97149,13,45,33832,Non-Repeating
65,34,76138,3,21,12385,Returning
66,53,138205,6,18,5242,Non-Repeating
67,67,96125,3,37,11448,Returning
68,57,33918,14,45,19534,Returning
69,21,105655,7,32,14088,Returning
70,19,47446,10,36,13172,Returning
71,23,144040,9,17,20496,Non-Repeating
72,59,33046,2,35,10613,Returning
73,21,149922,12,49,31381,Returning
74,46,44818,12,11,6394,Non-Repeating
75,35,120894,14,21,10125,Returning
76,43,135751,5,26,15912,Non-Repeating
77,61,24324,13,4,3846,Returning
78,51,96323,6,34,12761,Returning
79,27,29111,4,48,24730,Returning
80,53,58110,4,18,13879,Returning
81,31,36389,4,40,19593,Returning
82,48,142177,2,35,21712,Returning
83,65,61427,4,41,19131,Non-Repeating
84,32,99579,11,29,7485,Non-Repeating
85,25,48746,1,29,11176,Returning
86,31,142883,12,38,27623,Returning
87,40,107886,6,42,22233,Returning
88,57,127141,1,21,12847,Returning
89,38,20117,10,42,22657,Non-Repeating
90,33,145808,6,13,9137,Returning
91,62,132221,1,49,35986,Returning
92,35,104471,6,41,12939,Returning
93,64,132613,10,17,17091,Non-Repeating
94,41,33234,8,9,5762,Returning
95,43,149597,11,41,18084,Returning
96,42,123864,2,1,6168,Returning
97,62,73441,2,2,7944,Returning
98,58,20846,14,48,3762,Returning
99,46,30954,13,29,10250,Returning
100,32,99239,12,33,10725,Non-Repeating
101,62,133689,4,10,17774,Returning
102,18,66514,11,40,12826,Returning
103,42,108236,3,21,15807,Non-Repeating
104,24,117579,4,28,13751,Non-Repeating
105,26,148644,13,11,11996,Returning
106,41,26469,12,34,5987,Returning
107,18,50105,7,8,3329,Returning
108,61,62101,13,22,5468,Non-Repeating
109,25,84323,11,8,4651,Returning
110,41,111922,1,49,13633,Returning
111,28,78067,6,15,8797,Returning
112,68,69376,3,17,9617,Returning
113,34,65587,11,23,8396,Returning
114,25,56976,10,24,6135,Returning
115,52,124587,7,45,23138,Returning
116,52,147534,10,19,21048,Returning
117,50,87584,2,5,11644,Returning
118,22,124537,14,32,11375,Returning
119,59,98477,2,44,13439,Returning
120,56,130911,13,1,12567,Returning
121,58,62533,4,23,14520,Returning
122,45,21828,1,37,7900,Non-Repeating
123,24,21917,3,8,2675,Non-Repeating
124,26,40618,13,13,5756,Non-Repeating
125,25,52254,9,8,4372,Returning
126,29,125292,7,23,12991,Returning
127,51,136714,7,43,20796,Returning
128,50,67362,13,1,7845,Returning
129,65,40128,13,45,21710,Returning
130,40,143781,11,24,15315,Non-Repeating
131,41,131281,4,35,21159,Returning
132,54,79383,2,24,12383,Returning
133,52,85545,14,17,6711,Non-Repeating
134,61,102180,4,5,9974,Non-Repeating
135,57,107958,6,20,14002,Non-Repeating
136,39,29865,11,21,6350,Returning
137,44,22219,11,40,10146,Returning
138,52,59809,3,31,13816,Returning
139,18,136748,1,46,23330,Returning
140,52,25287,14,36,2529,Returning
141,54,146593,12,11,14561,Returning
142,64,54387,8,15,7384,Non-Repeating
143,31,28512,12,19,9475,Returning
144,20,21342,13,7,2611,Non-Repeating
145,18,83076,5,28,15798,Non-Repeating
146,22,128872,5,43,10497,Returning
147,43,39216,11,5,5103,Non-Repeating
148,31,137512,4,5,5869,Returning
149,56,136682,6,30,20172,Returning
150,44,113070,3,32,24215,Non-Repeating
151,26,99767,9,8,12187,Returning
152,32,117829,5,10,4834,Non-Repeating
153,32,46614,3,38,23063,Returning
154,43,56258,11,47,12379,Returning
155,59,113789,1,32,21599,Returning
156,30,62078,10,48,27773,Returning
157,68,126288,12,28,15675,Returning
158,49,103524,6,17,11529,Returning
159,56,116573,2,31,17726,Non-Repeating
160,66,32219,13,8,5835,Non-Repeating
161,69,20235,3,40,17488,Returning
162,49,62929,1,25,16736,Non-Repeating
163,21,147309,9,9,5741,Non-Repeating
164,47,87444,8,2,11193,Non-Repeating
165,54,28567,12,15,5202,Returning
166,40,121834,2,3,1975,Returning
167,56,90792,12,49,10756,Non-Repeating
168,62,85441,11,36,9574,Returning
169,32,104555,8,4,10144,Non-Repeating
170,60,93698,12,14,5330,Returning
171,46,144450,14,41,13465,Returning
172,53,137248,9,41,35200,Returning
173,30,25415,1,25,9001,Returning
174,49,56159,13,10,6980,Returning
175,24,63925,5,21,16917,Non-Repeating
176,68,146523,8,36,19624,Returning
177,39,25951,11,12,6353,Non-Repeating
178,45,107388,14,27,18019,Non-Repeating
